actorid,name,date_of_birth,birth_city,birth_country,height_inches,biography,gender,ethnicity,networth
2169,Aaron Eckhart,1968-03-12,Cupertino,USA,61,"Aaron Eckhart was born on March 12, 1968 in Cupertino, California, USA as Aaron Edward Eckhart. He is an actor and producer, known for The Dark Knight (2008), Thank You for Smoking (2005) and In the Company of Men (1997).",Male,White,16000000
2204,Aasif Mandvi,1966-03-05,Bombay,India,68,"Aasif Mandvi was born on March 5, 1966 in Bombay, Maharashtra, India as Aasif Mandviwala. He is an actor and producer, known for Million Dollar Arm (2014), Evil (2019) and The Proposal (2009). He has been married to Shaifali Puri since August 26, 2017.",Male,Indian,3000000
5,Abe Vigoda,1921-02-24,Brooklyn,USA,73,Abraham Charles Vigoda was an American actor known for his portrayals of Salvatore Tessio in The Godfather and Phil Fish in both Barney Miller and Fish.,Male,White,10000000
1618,Abigail Breslin,1996-04-14,New York City,USA,61,"Academy Award-nominated actress Abigail Breslin is one of the most sought-after actors of her generation. Her unique and charismatic talents have contributed to her versatile roles in both comedy and drama. Recently, Breslin headlined the first season of the horror-comedy series, Scream Queens (2015), opposite Emma Roberts, Lea Michele and Jamie ...",Female,White,8000000
1062,Abraham Benrubi,1969-10-04,Indianapolis,USA,79,"Abraham Benrubi was born on October 4, 1969 in Indianapolis, Indiana, USA as Abraham Rubin Hercules Benrubi. He is an actor, known for ER (1994), Parker Lewis Can't Lose (1990) and The Program (1993).",Male,White,12000000
1874,Adam Arkin,1956-08-19,Brooklyn,USA,73,"Adam Arkin was born on August 19, 1956 in Brooklyn, New York City, New York, USA. He is an actor and director, known for Halloween H20: 20 Years Later (1998), Northern Exposure (1990) and Chicago Hope (1994). He has been married to Michelle Dunker since September 2, 2017. He was previously married to Phyllis Lyons and Linda Sublette.",Male,White,10000000
2187,Adam Ferrara,1966-02-02,Queens,USA,61,Adam Ferrara is a stand-up comedian and actor who proudly played Chief Needles Nelson on the Emmy nominated FX drama series Rescue Me (2004) with Denis Leary and Frank Verelli on Showtime's hit series Nurse Jackie (2009) opposite Emmy Award winner Edie Falco. Ferrara has also costarred alongside Kevin James in the hit movie Paul Blart: Mall Cop (...,Male,White,2000000
1185,Adam Goldberg,1970-10-25,Santa Monica,USA,61,"An actor with a talent for mining the neuroses of his characters for both comedic and dramatic effect and a filmmaker adept at exploring the philosophical questions at the heart of the human experience, Adam Goldberg has solidified his position as a versatile and unique talent. Goldberg was born in Santa Monica, California, to Donna (Goebel) and ...",Male,White,6000000
878,Adam Hann-Byrd,1982-02-23,New York City,USA,70,"Adam Hann-Byrd was born on February 23, 1982 in New York City, New York, USA. He is an actor and writer, best known for his work on Jumanji (1995), The Ice Storm (1997), Halloween H20: 20 Years Later (1998), and as the title character in Jodie Foster's directorial debut, Little Man Tate (1991).",Male,White,3000000
1129,Adam Sandler,1966-09-09,Brooklyn,USA,69,"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was...",Male,White,420000000
2489,Adelaide Clemens,1989-11-30,Brisbane,Australia,69,"Born and raised in Brisbane, Australia. Daughter of a British father. Clemens began working as an actress on Australian television while in high school. She guest-starred in a 2006 episode of Blue Water High as Juliet, and in 2007, she starred in the children's series Pirate Islands: The Lost Treasure of Fiji as Alison. Clemens played Harper in ...",Female,White,4000000
820,Adewale Akinnuoye-Agbaje,1967-08-22,Islington,UK,74,"Born and raised in London, England, Adewale Akinnuoye-Agbaje began his career as a model in Milan. He graduated with a masters degree in Law from London's prestigious Kings College, before moving to Los Angeles to make the transition to acting. Fluent in several languages, including English, Italian, Yoruba and Swahili, he is best known for his ...",Male,African-American,3000000
