movieid,actorid,character_name,creditorder,pay,screentime
1,1,James,1,,
1,2,Mollie,2,,
1,3,Rosie,3,,
1,4,Albert,4,,
1,5,Grandpa,5,,
1,6,Mikey,6,,
1,7,Rona,7,,
2,16,Oscar,7,,
2,17,Dr. Weil,8,,
2,18,Nonie,9,,
4,19,Ron Kovic,1,,
4,20,Young Ron,2,,
4,21,Mr. Kovic,3,,
4,22,Mrs. Kovic,4,,
4,23,Tommy Kovic,5,,
4,24,Young Tommy,6,,
4,25,Jimmy Kovic,7,,
4,26,Young Jimmy,8,,
4,27,Susanne Kovic,9,,
5,28,Ray Kinsella,1,,
5,29,Annie Kinsella,2,,
5,30,Karin Kinsella,3,,
5,31,Shoeless Joe Jackson,4,,
1,8,Mikey,8,,
1,9,Mikey,9,,
2,10,Hoke Colburn,1,,
2,11,Daisy Werthan,2,,
2,12,Boolie Werthan,3,,
2,13,Florine Werthan (as Patti Lupone),4,,
2,14,Idella,5,,
2,15,Miss McClatchey (as Joann Havrilla),6,,
5,32,Mark,5,,
5,33,Terence Mann,6,,
5,34,Dr. Archibald 'Moonlight' Graham,7,,
5,35,Archie Graham,8,,
5,36,John Kinsella,9,,
6,37,Buck Russell,1,,
6,38,Tia Russell,2,,
6,30,Maizy Russell,3,,
6,39,Miles Russell,4,,
6,29,Chanice Kobolowski,5,,
6,40,Cindy Russell,6,,
6,41,Bob Russell,7,,
6,42,Marcie Dahlgren-Frost,8,,
6,43,Bug,9,,
7,44,Harry Burns,1,,
7,45,Sally Albright,2,,
7,46,Marie,3,,
7,47,Jess,4,,
7,48,Joe,5,,
7,49,Alice,6,,
7,50,Amanda,7,,
7,51,Stewardess,8,,
7,52,Man on Aisle,9,,
8,53,John Keating,1,,
8,54,Neil Perry,2,,
8,55,Todd Anderson,3,,
8,56,Knox Overstreet,4,,
8,57,Charlie Dalton,5,,
8,58,Richard Cameron,6,,
8,59,Steven Meeks,7,,
8,60,Gerard Pitts,8,,
8,61,Mr. Nolan,9,,
9,62,Gil,1,,
9,63,Karen,2,,
9,64,Helen,3,,
9,65,Frank,4,,
9,66,Nathan,5,,
9,67,Larry,6,,
9,68,Julie,7,,
9,69,Tod,8,,
9,70,Susan,9,,
